PayrollID,EmployeeID,AgencyID,TitleCode,TimeID,PayrollNumber,BaseSalary,PayBasis,AgencyStartDate,RegularHours,RegularGrossPaid,OTHours,TotalOTPaid,TotalOtherPay
1,10001,2120,40447,1,17,86005.0,per Annum,2016-09-12,1820.0,84698.21,0.0,0.0,0.0
2,149612,2120,40447,1,17,86005.0,per Annum,2013-09-16,1820.0,84698.21,0.0,0.0,0.0
3,206583,2120,40447,1,17,86005.0,per Annum,2018-04-30,1820.0,84698.21,0.0,0.0,0.0
4,199874,2120,40447,1,17,86005.0,per Annum,2019-03-18,1820.0,87900.95,0.0,0.0,-3202.74
5,58036,2120,40447,1,17,86005.0,per Annum,2017-05-15,1820.0,83976.54,0.0,0.0,0.0
6,104393,2120,40447,1,17,86005.0,per Annum,2014-12-01,1820.0,83877.36,0.0,0.0,0.0
7,186781,2120,40285,1,17,236088.0,per Annum,2014-06-30,21.0,2716.38,0.0,0.0,80141.89
8,149700,2120,40447,1,17,86005.0,per Annum,2016-06-27,1820.0,81887.99,15.0,679.33,29.97
9,121565,2120,40447,1,17,83791.0,per Annum,2017-11-20,1820.0,82517.67,0.0,0.0,0.0
10,141167,2120,40447,1,17,83791.0,per Annum,2016-01-04,1820.0,82517.67,0.0,0.0,0.0
11,123132,2120,40448,1,17,73049.0,per Annum,2015-04-06,1820.0,71938.89,175.25,8786.47,120.1
12,97057,2120,40448,1,17,66603.0,per Annum,2017-10-10,1820.0,64110.28,352.0,16667.92,26.71
13,155154,2120,40448,1,17,68751.0,per Annum,2018-11-26,1820.0,67706.51,237.0,11332.32,566.13
14,115541,2120,40448,1,17,71231.0,per Annum,2010-09-27,1820.0,70148.5,32.25,1314.22,6860.54
15,96376,2120,40448,1,17,73317.0,per Annum,2017-01-03,1820.0,72203.21,113.5,5643.55,458.37
16,143597,2120,40448,1,17,67980.0,per Annum,2019-03-04,1820.0,66947.11,216.0,10630.76,469.3
17,181023,2120,40448,1,17,73049.0,per Annum,2018-12-10,1820.0,70352.18,127.0,6574.12,431.81
18,152023,2120,40448,1,17,59083.0,per Annum,2018-03-05,1820.0,58185.25,395.5,17255.06,252.14
19,158677,2120,40448,1,17,66603.0,per Annum,2016-09-12,1820.0,65591.04,199.25,9713.85,324.4
